SRL_NO,AGENTBOOTH_BRANCH,REQ_LIMIT,LOAN_TENOR,INTEREST_RATE,PROPOSED_EMI,EXISTING_LOAN,OUTSTANDING_AMOUNT,EXT_LOAN_EMI,BUS_ASSETS,MONTHLY_INCOME,BUSINESS_AGE,CASH_IN_HAND,STOCK,RECEIVABLE,PAYABLE,YEARLY_SALES,NET_PROFIT_MARGIN,DEBT_BUR_RATIO,LOAN_TO_PRICE,DEBT_EQU_RATIO,OWNER_AGE,OWNER_PNW,GUARANTOR_AGE,GUARANTOR_PNW,ELIGIBILITY_PART1,ELIGIBILITY_PART2,CIB_STATUS,APPROVED
3032,2,0.8,36,15,0.028,0,0,0,0.215,0.05,11,0.05,1.756,0.98,0.655,11.025,5.4,56,38.4,34.1,40,8.1,42,7,3,15,1,1
3033,1,0.3,24,15,0.015,0,0,0,0.066,0.051,8,0.1,1.071,0.079,0.08,6.292,9.7,28.8,28,21.9,30,4.88,32,3,3,14.5,1,1
3035,2,0.8,36,15,0.028,0,0,0,0.17,0.203,12,0.07,2.32,0.578,0.065,14.485,16.8,13.8,28.2,26,39,10.493,37,20,2,15,1,1
3038,1,0.3,24,15,0.015,0,0,0,0.23,0.052,9,0.08,0.752,0.13,0.04,6.985,8.9,28.5,35.6,26,50,3.772,48,4,4,15,1,1
3039,2,0.8,36,13.5,0.027,1.5,0.934,0.024,0.14,0.088,9,0.17,2.712,0.665,0.13,11.55,9.2,31.1,24.6,22.5,32,5.028,43,7,3,14.5,1,1
3041,2,0.8,36,15,0.028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3044,2,0.3,24,15,0.015,0,0,0,0.105,0.059,6,0.1,0.715,0.093,0.025,6.972,10.2,24.8,38.3,34,36,4.25,40,7,4,12.5,0,0
3046,2,0.5,24,15,0.025,0,0,0,0.228,0.122,7,0.1,0.895,0.256,0.095,10.284,14.2,20.2,47.4,43.3,29,10.645,31,5,3,12.5,1,1
3047,2,0.8,36,15,0.028,0.25,0.077,0.016,0.308,0.138,8,0.15,1.291,0.351,0.029,13.721,12,32,49.6,42.3,39,14.062,38,5,4,15,1,1
3048,1,0.5,24,15,0.025,0,0,0,0.1,0.037,13,0.1,0.69,0.48,0.2,5.41,8.1,66.8,51.6,42.7,43,2.644,37,1,4,14,1,1
3049,2,0.6,36,15,0.021,0,0,0,0.069,0.086,7,0.12,1.171,0.15,0.001,19.895,5.2,24.4,45.5,39.8,33,4.163,41,3,3,14.5,1,1
3050,2,0.6,36,14,0.021,0,0,0,0.3,0.062,7,0.05,1.097,0.4,0.28,5.844,12.7,33.4,49.3,38.3,44,14.53,39,7,5,15,1,1
3051,2,0.8,36,9,0.026,0,0,0,0.23,0.155,12,0.1,1.77,0.147,0.025,10.792,17.3,16.5,42.3,36,31,8.682,42,16,4,14,1,1
3052,2,0.6,36,15,0.021,0,0,0,0.71,0.138,15,0.07,2.02,0.548,0.065,12.132,13.7,15.2,24,18.3,42,10.393,42,9,2,13.5,1,1
3053,1,0.8,36,15,0.028,0.8,0.048,0.034,0.163,0.092,5,0.1,1.468,0.196,0.118,7.024,15.8,67.5,51.7,46.9,38,3.782,40,4,3.5,14,1,1
3054,2,0.5,9,15,0.006,0,0,0,0.368,0.067,4,0.05,1.474,0.811,0.507,11.479,7,11.2,33.8,27.3,21,7.3,35,5,2,12,1,1
3055,1,0.6,24,15,0.029,0.3,0,0.019,0.5,0.054,13,0.15,1.565,0.328,0.09,7.425,8.8,89.9,33.3,24.5,0,0,0,0,1,0,0,0
3056,2,0.8,24,15,0.039,0.8,0,0,0.218,0.117,11,0.1,1.35,0.333,0.195,9.083,15.5,33.4,53.8,44.3,37,14.238,39,10,4,15,1,1
3057,1,0.3,24,9,0.014,0,0,0,0.035,0.09,11,0.05,0.7,0.2,0,7.2,15,15.3,33.3,30.5,30,3.787,31,3,3,14.5,1,1
3059,1,0.8,36,15,0.028,1.5,1,0,0.45,0.164,17,0.1,5.288,1.75,0.45,18.72,10.5,17.1,12.1,25.2,55,16.648,51,9,4,15,1,1
3060,2,0.8,7,15,0.01,1,0.322,0.036,0.8,0.417,10,0.35,10.713,5.745,2.155,42.182,11.9,11.1,5.6,7.3,45,13.267,34,4,2,13,1,1
3061,2,0.8,24,15,0.039,0.6,0.32,0.039,0.19,0.125,19,0.1,1.23,1,0.01,17.22,8.7,62.3,36,44.6,57,16.38,45,10,5,15,1,1
3062,1,0.3,8,15,0.004,0.2,0,0,0.223,0.045,9,0.035,0.585,0.44,0.068,5.125,10.6,8.3,31.4,24.7,38,6.769,43,2,0,6,1,1
3064,2,0.6,36,14,0.021,0,0,0,0.15,0.057,11,0.035,0.855,0.455,0.245,4.075,16.7,36.5,56.3,48,45,4.2,40,4,3,14,1,1
3065,2,0.5,9,15,0.006,0.306,0.202,0,0.222,0.067,10,0.05,1.206,0.959,0.325,13.109,6.2,14.8,43.5,47.5,45,9.65,41,7,4,14.5,1,1
3066,2,0.8,36,15,0.028,0,0,0,0.44,0.075,5,0.055,0.536,0.755,0.131,8.987,10,37.3,69,48.4,23,2.259,39,2,2,13,1,1
3067,2,0.8,36,15,0.028,0.5,0.047,0,0.08,0.072,16,0.26,1.455,0.3,0.13,9.152,9.4,39,52.1,44.9,44,4.033,35,5,4,14,1,1
3068,2,0.8,36,15,0.028,0,0,0,0.507,0.272,9,0.1,5.387,1.082,0.323,59.832,5.4,10.3,13,11.9,37,14.541,35,9,4,15.5,1,1
