SRL_NO,AGENTBOOTH_BRANCH,REQ_LIMIT,LOAN_TENOR,INTEREST_RATE,PROPOSED_EMI,EXISTING_LOAN,OUTSTANDING_AMOUNT,EXT_LOAN_EMI,BUS_ASSETS,MONTHLY_INCOME,BUSINESS_AGE,CASH_IN_HAND,STOCK,RECEIVABLE,PAYABLE,YEARLY_SALES,NET_PROFIT_MARGIN,DEBT_BUR_RATIO,LOAN_TO_PRICE,DEBT_EQU_RATIO,OWNER_AGE,OWNER_PNW,GUARANTOR_AGE,GUARANTOR_PNW,ELIGIBILITY_PART1,ELIGIBILITY_PART2,CIB_STATUS,APPROVED
"7,698",1,0.300,24,14,0.015,0.5,0.431,0.032,0.423,0.098,9,0.2,2.556,0.494,0.15,11.047,10.7,47.3,10.3,20.8,36,8.369,36,2,5,14.500,1,1
"7,699",1,0.500,24,14,0.024,0,0,0,0.12,0.07,5,0.2,0.804,1.065,0.2,19.32,4.4,34.4,30,25.1,23,5.808,44,6,3,14,0,0
"7,700",1,0.200,24,8.500,0.009,0,0,0,0.342,0.028,8,0.125,0.273,0.004,0,1.932,17.4,32.7,72.2,26.9,27,1.08,37,2,3,12,1,1
"7,701",2,0.300,24,14,0.015,0,0,0,0.887,0.097,4,0.04,0.758,0.178,0.025,5.24,22.2,15,32.9,16.3,37,4.812,41,5,3,15,1,1
"7,702",2,0.400,24,14,0.019,0,0,0,0.154,0.064,7,0.11,0.702,0.314,0.13,6.642,11.5,30.4,45.2,34.8,37,15.459,35,6,4,15,1,1
"7,705",1,0.500,24,14,0.024,0.4,0,0.019,1.418,0.098,14,0.08,1.193,0.271,0.145,7.655,15.4,44.5,37.9,17.8,44,5.227,49,2,2,7.500,1,1
"7,706",2,0,0,0,0,0,0,0,0.117,0.25,0,0,0,0,0,0,0,0,0,0,45,0,35,0,0,0,0,0
"7,707",1,0.700,36,14,0.024,0,0,0,0.6,0.091,10,0.21,1.288,0.423,0.295,17.821,6.1,26.5,49.4,31.5,35,5.585,33,4,3,13,1,1
"7,708",2,0.500,24,13,0.024,0,0,0,0.12,0.089,0,0.205,1.723,0.52,0.48,11.4,9.3,27.1,28.4,24,25,13.4,39,12,3,11,1,1
"7,709",2,0.800,24,14,0.039,3.3,3.3,0,0.975,0.187,34,0.2,4.304,1.662,0.22,21.934,10.2,20.8,13.9,11.6,51,15.582,39,13,4,14.500,1,1
"7,710",2,0.800,36,14,0.028,0,0,0,0.172,0.106,7,0.125,1.988,0.184,0.095,9.899,12.9,26,38.5,33.7,32,5.193,51,4,3,14.500,0,0
"7,711",2,0.800,36,14,0.028,0,0,0,0.6,0.078,11,0.3,3.195,0.274,0.05,12,7.8,35.5,23.4,18.5,64,18.165,38,32,5,16,1,0
"7,712",1,0.500,24,14,0.024,0,0,0,0.5,0.02,3,0.4,1,0.5,0.2,8,3,121.2,38.5,22.7,47,0.77,0,0,3,10,0,0
"7,713",1,0.500,24,15,0.025,0,0,0,1.2,0.092,9,0.2,1.615,0.112,0.07,13.055,8.5,30.3,48.3,26.2,43,3.872,39,7,2,16,1,1
"7,714",1,0,0,0,0,0,0,0,0.3,0.041,11,0,0,0,0,0,0,0,0,0,28,0,41,0,0,0,0,0
"7,715",2,1.200,18,14,0.075,1.4,0.413,0.088,0.322,0.236,8,0.55,3.667,2.105,1.03,19.401,14.6,31.9,25.3,21.4,25,5.937,30,3,0,7,1,1
"7,716",2,0.500,24,14,0.024,0,0,0,0.22,0.045,5,0.1,0.82,0.25,0.05,8.265,6.5,54.2,49,37.3,26,3.12,34,15,3,13.500,1,1
"7,717",1,0.400,24,15,0.02,0.2,0,0.013,0.28,0.053,11,0.15,1.037,0.125,0.08,7.21,8.8,37.3,37,26.5,31,2.655,42,2,0,6.500,1,1
"7,718",1,0.800,36,14,0.028,0,0,0,0.3,0.085,9,0.1,1.86,0.85,0.35,12,8.5,32.5,33.9,29,29,3.55,40,5,2,14,1,1
"7,719",1,0.400,24,12,0.019,0,0,0,0.28,0.053,5,0.05,0.85,0.05,0.02,3.82,16.5,36.2,45.5,33.1,44,9.367,37,2,5,15,1,1
"7,721",2,0.800,36,12,0.027,0.5,0.175,0.025,0.715,0.135,6,0.28,2.445,0.57,0.23,18.285,8.9,38,35,25.8,50,10.566,45,10,2,16,1,0
